,All natural disasters (Occurrence),Drought (Occurrence),Earthquake (Occurrence),Extreme temperature (Occurrence),Extreme weather (Occurrence),Flood (Occurrence),Impact (Occurrence),Landslide (Occurrence),Mass movement (dry) (Occurrence),Volcanic activity (Occurrence),Wildfire (Occurrence),LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1931,12.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,8.71925,0.23775,14.41975,0.22849999999999995,2.818583333333333,0.2738333333333334,15.228250000000003,0.12908333333333333,13.65916666666667,0.8933333333333334,0.775,15.20833333333333,3.495833333333333,223.4716666666666,14.665,12.696666666666665,14.667499999999999
1932,8.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8.705250000000001,0.2489166666666667,14.432083333333333,0.22408333333333333,2.7625000000000006,0.27291666666666664,15.188000000000002,0.12941666666666668,6.928333333333332,0.6466666666666666,0.5016666666666666,13.641666666666666,3.510833333333333,126.82166666666667,11.8075,9.167499999999999,8.070000000000002
1933,10.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.33825,0.2426666666666667,14.078333333333331,0.24091666666666664,2.424416666666666,0.28124999999999994,15.012916666666667,0.12708333333333333,8.958333333333334,0.4675,0.4250000000000001,12.933333333333332,3.2225,172.63416666666663,9.041666666666666,8.235,11.096666666666666
1934,9.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,8.628333333333336,0.24008333333333334,14.38425,0.2340833333333333,2.7665833333333336,0.2758333333333334,15.1445,0.12441666666666666,9.844166666666668,0.44583333333333347,0.4675000000000001,13.383333333333333,2.9683333333333333,183.8758333333333,8.315,8.718333333333332,12.1975
1935,11.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,8.51575,0.23591666666666666,14.286916666666668,0.2330833333333333,2.5877500000000007,0.2635,15.118833333333335,0.12233333333333334,10.599166666666667,0.4483333333333333,0.7425,13.725000000000001,2.7258333333333327,192.89916666666667,8.161666666666667,13.512499999999998,13.1225
1936,11.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,8.554,0.2430833333333334,14.314583333333333,0.23908333333333334,2.6394166666666665,0.2559166666666666,15.166166666666667,0.12033333333333333,15.468333333333334,0.5741666666666667,0.8858333333333334,13.866666666666667,2.664166666666667,278.5591666666667,10.336666666666666,15.949999999999998,19.2575
1937,7.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,8.698333333333332,0.24008333333333332,14.476333333333335,0.24558333333333335,2.7500000000000004,0.2565,15.3005,0.12,15.405833333333335,0.7833333333333335,1.1483333333333332,14.383333333333335,2.625,267.9533333333333,13.604166666666666,19.94,18.456666666666667
1938,7.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,8.863666666666667,0.24050000000000002,14.649916666666668,0.23424999999999999,3.033000000000001,0.26875,15.293083333333334,0.11858333333333336,11.488333333333335,0.6966666666666667,0.7908333333333335,14.091666666666663,2.4683333333333333,203.75,12.345833333333333,14.010833333333336,13.928333333333333
1939,11.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.760333333333334,0.2373333333333333,14.594666666666667,0.23933333333333331,2.880666666666667,0.2605,15.302333333333332,0.12058333333333333,12.061666666666667,0.5483333333333335,0.7733333333333333,13.908333333333331,2.2916666666666665,216.6,9.848333333333331,13.889166666666666,15.564999999999998
1940,17.0,9.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.764666666666667,0.2310833333333333,14.579083333333335,0.23491666666666666,2.890333333333334,0.2541666666666667,15.372083333333334,0.12283333333333335,11.020833333333334,0.6508333333333333,1.0275,14.008333333333333,2.0916666666666663,196.58916666666664,11.607500000000002,18.324166666666667,14.685833333333337
1941,5.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.768666666666668,0.22783333333333333,14.536166666666666,0.23008333333333333,2.9148333333333336,0.2639166666666667,15.384666666666666,0.11591666666666667,9.824166666666667,0.6916666666666668,1.1158333333333332,14.725000000000003,2.185,166.98833333333332,11.740000000000002,18.92583333333333,12.2125
1942,9.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.728416666666666,0.2295,14.53425,0.23866666666666667,2.9200833333333343,0.27825,15.325333333333338,0.1330833333333333,8.67333333333333,0.65,1.0083333333333333,16.333333333333332,2.4641666666666664,132.63500000000002,9.959999999999999,15.44333333333333,9.238333333333332
1943,12.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,8.755083333333333,0.22658333333333336,14.603000000000002,0.22591666666666665,2.936583333333333,0.24516666666666673,15.345,0.13366666666666668,11.504166666666665,0.5958333333333333,1.055,17.308333333333337,2.475,165.98833333333332,8.600833333333336,15.229999999999999,11.042499999999999
1944,12.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,8.845,0.22516666666666665,14.727166666666664,0.2270833333333333,3.0596666666666668,0.24583333333333338,15.449083333333334,0.12775,12.468333333333332,0.6299999999999999,0.9208333333333334,17.591666666666665,2.4291666666666667,177.03583333333333,8.945833333333333,13.078333333333335,11.341666666666667
1945,12.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.584833333333332,0.2203333333333333,14.438749999999999,0.21483333333333332,2.7723333333333327,0.26066666666666666,15.33075,0.13033333333333333,15.155833333333334,0.6533333333333334,0.975,17.991666666666664,2.2883333333333336,210.35666666666665,9.071666666666667,13.538333333333332,13.270833333333334
1946,15.0,1.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,8.676916666666669,0.22241666666666662,14.481500000000002,0.21483333333333335,2.830583333333333,0.25458333333333333,15.262750000000002,0.13241666666666665,17.080833333333334,0.6858333333333334,0.9141666666666667,19.51666666666667,2.2175,220.5825,8.803333333333333,11.72,14.04416666666667
